0,1,2,3
NH-OIL,새남해농업협동조합서면주유소,1370,1270
S-OIL,삼동주유소,1370,1270
GS칼텍스,남해주유소,1370,1270
S-OIL,동천주유소,1370,1270
S-OIL,서남해주유소,1370,1270
GS칼텍스,다정주유소,1370,1270
NH-OIL,새남해농업협동조합남상점,1370,1270
NH-OIL,새남해농협하나로마트설천점,1370,1270
현대오일뱅크,남양제1주유소(현대),1370,1270
SK에너지,대영주유소,1370,1270
NH-OIL,새남해농업협동조합설천주유소,1370,1270
S-OIL,송정주유소,1390,1290
SK에너지,우리주유소,1400,1300
자가상표,고현주유소,-,-
S-OIL,(주)글로베스트코리아삼랑진IC주유소,1280,1180
알뜰주유소,해동주유소,1283,1165
현대오일뱅크,금성주유소,1285,1165
NH-OIL,산동농협주유소,1290,1190
S-OIL,귀명주유소귀명충전소,1290,1190
S-OIL,으뜸주유소,1295,1195
NH-OIL,남밀양농협주유소,1295,1195
현대오일뱅크,호정주유소,1295,1195
자가상표,상남주유소,1295,1195
알뜰주유소,정다운주유소,1297,1197
GS칼텍스,(주)티엔에프하이웨이주유소/충전소,1298,1198
S-OIL,한마음주유소,1298,1198
알뜰주유소,태영에너지(주)경민주유소,1298,1198
현대오일뱅크,상남self주유소,1298,1198
S-OIL,남밀양 IC 주유소,1298,1198
S-OIL,송림주유소,1298,1198
GS칼텍스,상동주유소,1298,1209
S-OIL,부경주유소,1298,1198
GS칼텍스,초동공단주유소,1298,1198
S-OIL,(주)천하주유소,1299,1199
S-OIL,(주)에너지마스터직영대영주유소,1305,1205
GS칼텍스,한진주유소,1308,1208
현대오일뱅크,만포주유소,1309,1189
SK에너지,무안농협주유소,1309,1209
현대오일뱅크,신삼랑진주유소,1309,1207
SK에너지,인산주유소,1310,1200
SK에너지,복돌복주유소,1315,1275
GS칼텍스,범북고개주유소,1315,1215
NH-OIL,삼랑진농협주유소,1315,1208
NH-OIL,밀양농협주유소,1318,1208
NH-OIL,부북농업협동조합주유소,1319,1209
NH-OIL,청도농협주유소,1319,1209
현대오일뱅크,시민주유소,1327,1228
현대오일뱅크,유진주유소,1328,1228
자가상표,하남주유소,1328,1228
S-OIL,도야주유소,1328,1228
SK에너지,영남주유소,1328,1248
GS칼텍스,금산주유소,1329,1229
SK에너지,천일주유소,1329,1229
현대오일뱅크,삼랑진주유소,1332,1232
현대오일뱅크,동남주유소,1334,1234
현대오일뱅크,우리주유소,1335,1235
S-OIL,동성주유소,1338,1238
현대오일뱅크,가산주유소,1338,1259
GS칼텍스,평화주유소,1338,1228
SK에너지,예림주유소,1339,1239
SK에너지,해창석유(주)밀양강주유소,1339,1239
현대오일뱅크,밀양주유소,1339,1239
S-OIL,사계절주유소,1345,1245
S-OIL,극동고속주유소,1345,1245
GS칼텍스,송백주유소,1370,1270
GS칼텍스,강변주유소,1389,1279
GS칼텍스,동산주유소,1390,1290
SK에너지,제일주유소,1395,1295
GS칼텍스,남도주유소,1395,1295
SK에너지,SK네트웍스밀양주유소,1399,1299
S-OIL,약수정,1400,1290
SK에너지,경남주유소,1435,1345
SK에너지,용전주유소,1436,1236
S-OIL,얼음골,1490,1370
S-OIL,삼락정주유소,-,-
알뜰주유소,양효주유소,-,-
GS칼텍스,금곡주유소,-,-
S-OIL,강남주유소,-,1345
SK에너지,고속주유소,1279,1179
GS칼텍스,삼천포주유소,1279,1179
자가상표,윤창주유소,1280,1180
NH-OIL,곤명농협,1280,1190
자가상표,새고개주유소,1280,1180
NH-OIL,곤명농협 곤양지점주유소,1280,1190
S-OIL,태양주유소,1284,1190
SK에너지,남척주유소(사천),1285,1185
알뜰주유소,용장군주유소,1285,1185
NH-OIL,서포농협서포주유소,1285,1185
현대오일뱅크,사천신흥주유소,1285,1185
SK에너지,목화주유소,1285,1185
현대오일뱅크,대교주유소,1285,1185
현대오일뱅크,인성주유소,1285,1190
GS칼텍스,아남주유소,1285,1185
알뜰주유소,삼포주유소,1285,1185
SK에너지,부자주유소,1285,1185
GS칼텍스,(주)하나주유소,1285,1185
SK에너지,천일주유소,1289,1189
SK에너지,하남주유소,1289,1189
S-OIL,노랑주유소,1289,1199
현대오일뱅크,인산 주유소,1290,1190
알뜰주유소,㈜승일 배춘주유소,1290,1190
현대오일뱅크,(주)월성주유소,1290,1190
S-OIL,스카이셀프주유소,1290,1190
GS칼텍스,사천중앙주유소,1290,1190
SK에너지,(주)사천공항주유소,1290,1260
현대오일뱅크,남문주유소(현대),1290,1190
SK에너지,SK네트웍스(주) 사천역사주유소,1290,1190
현대오일뱅크,용머리주유소,1290,1190
S-OIL,대박주유소,1290,1190
알뜰주유소,(주)한주에너지,1290,1190
알뜰(ex),사천(부산방향)주유소/충전소,1298,1188
알뜰(ex),사천(순천방향)주유소/충전소,1298,1188
NH-OIL,용현농협주유소,1299,1199
NH-OIL,사남농협주유소 경제사업장,1299,1199
NH-OIL,사천농협주유소,1299,1199
현대오일뱅크,선인주유소,1299,1199
GS칼텍스,푸른주유소,1310,1220
현대오일뱅크,곤양주유소(현대),1310,1210
알뜰주유소,다솔주유소,1310,1210
GS칼텍스,삼일주유소,1319,1219
현대오일뱅크,원전주유소,1320,1220
SK에너지,학동주유소,1320,1220
알뜰주유소,향촌주유소,1325,1225
SK에너지,경서대로주유소,1329,1229
S-OIL,송포새한주유소,1339,1239
S-OIL,곤명주유소,1339,1239
SK에너지,삼광주유소,1340,1230
SK에너지,남일주유소,1347,1248
S-OIL,아주 주유소,1349,1249
현대오일뱅크,탑리주유소,1350,1250
S-OIL,바보주유소,1355,1255
SK에너지,청양주유소,1359,1259
SK에너지,합동주유소,1359,1259
현대오일뱅크,남포주유소,1359,1249
GS칼텍스,정림주유소,1369,1269
SK에너지,축동주유소,1370,1270
S-OIL,금창주유소,1370,1270
GS칼텍스,동백제3주유소,1399,1299
SK에너지,주식회사 포유,1559,1450
알뜰주유소,생초IC주유소,1260,1160
S-OIL,한결(산청),1275,1175
GS칼텍스,석풍주유소,1275,1175
